TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
ARON,10517,00253510,19821104,19921101,1
ARON,10517,00253530,19930218,19951018,1
ARON,78049,00253520,19951019,20101210,1
ARON,10517,00253530,20101211,20201018,1
ARON,10517,00258R10,20201119,20201130,1
ARON,10517,74319R10,20201217,20220331,1
AROW,15070,04272910,19870917,19900702,1
AROW,15070,04274410,19900719,20220331,1
ARPC,90548,02926310,20050217,20130101,1
ARPC,90548,00191G10,20130117,20220331,1
ARQL,84052,04269E10,19961219,20200115,1
ARRY,19851,04271T10,20201119,20220331,1
ARSD,14761,03846510,20011220,20140617,1
ARSD,14761,89464810,20140619,20211231,1
ARVN,18100,04335A10,20181115,20220331,1
ARW,29209,04273510,19791220,20220331,1
ARWR,80069,04279710,20050120,20111116,1
ARWR,80069,04279720,20111117,20160406,1
ARWR,80069,04280A10,20160414,20220331,1
ASBC,15318,04548710,19870115,20220331,1
ASCM,92777,04363210,20081016,20190711,1
ASD1,89002,01858110,20010816,20220331,1
ASD1,,,20220414,,6
ASF,84385,00709410,19970320,20110308,1
ASF,84385,45778Q10,20110317,20220331,1
ASFI,82552,04622010,20000914,20160510,1
ASGN,77917,68215910,19921217,20180401,1
ASGN,77917,00191U10,20180419,20220331,1
ASH,24272,04454010,19760115,19950129,1
ASH,24272,04420410,19950216,20050630,1
ASH,24272,04420910,20050714,20160919,1
ASH,24272,04418610,20161020,20220331,1
ASHC,81540,03071P10,19950518,20010829,1
ASHC,81540,03073E10,20011018,20220331,1
ASIX,16276,00773T10,20170316,20220331,1
ASOW,,,20030515,20071219,6
ASOW,92468,72940R10,20071220,20190724,1
ASOW,92468,72940R30,20190815,20220331,1
ASTE,10382,04622410,19870115,20220331,1
ASTM,84511,00253U10,19970320,20100217,1
ASTM,84511,00253U30,20100318,20131015,1
ASTM,84511,00253U40,20131017,20141124,1
ASTM,84511,92346J10,20141218,20220331,1
ASYS,65008,03233220,19900614,19930606,1
ASYS,65008,03233230,19930715,19990315,1
ASYS,65008,03233250,19990318,20220331,1
AT1,87432,00846U10,19991216,20220331,1
ATCP,,,19971120,19980513,6
ATCP,87053,03014520,19990707,20100324,1
ATCP,87053,50213V10,20100415,20200120,1
ATCP,87053,36872P10,20200220,20220331,1
ATCR,90856,04963C20,20050818,20220331,1
ATHI,89179,03674B10,20011115,20041130,1
